date,actual,counterfactual_forecast,difference,difference_pct
2025-04-02,3119.75,3131.52234144638,-11.772341446378,-0.00377348872389712
2025-04-03,3118.1,3132.18312064351,-14.0831206435091,-0.00451657119512175
2025-04-04,3054.5,3132.85826450191,-78.3582645019142,-0.0256533850063559
2025-04-07,3014.75,3130.2889281348,-115.538928134797,-0.0383245470220738
2025-04-08,3015.4,3129.78515782976,-114.385157829755,-0.0379336598228278
2025-04-09,3075.5,3128.62150705725,-53.121507057248,-0.0172724783148262
2025-04-10,3143.15,3129.51554157326,13.6344584267363,0.00433783256501798
2025-04-11,3230.5,3128.87494336403,101.62505663597,0.0314579961727194
2025-04-14,3204.2,3129.05244173367,75.1475582663256,0.023452830118696
2025-04-15,3219.6,3128.69199442409,90.9080055759059,0.0282358074220108
2025-04-16,3322.9,3131.35025674148,191.549743258521,0.0576453529322342
2025-04-17,3305.65,3131.65557349487,173.994426505126,0.0526354654924527
2025-04-22,3433.55,3132.78205235535,300.767947644651,0.0875967868953855
2025-04-23,3262.95,3133.00258453364,129.947415466355,0.0398251323086026
2025-04-24,3314.75,3133.02376165348,181.726238346523,0.0548235125866274
